Tail Number,task_code,Started_Date_x,Completed_Date_x,oamt_barcode
123456,05-25-11,2019-06-04 20:04:48,2019-06-04 20:15:00,CEAR
123456,05-25-11,2019-06-04 17:04:00,2019-06-04 19:04:00,CEAQ
123456,05-25-11,2019-06-04 17:13:00,2019-06-04 23:13:00,CEAQ
123456,05-25-11,2019-06-04 18:13:12,2019-06-04 20:39:00,CEAQ
123456,05-25-11,2019-06-04 18:26:00,2019-06-04 19:26:00,CEAQ
123456,05-25-11,2019-06-04 18:29:12,2019-06-04 19:19:00,CEAQ
123456,05-25-11,2019-06-04 18:38:00,2019-06-04 19:38:00,CEAQ
123456,05-25-11,2019-06-04 18:58:00,2019-06-04 19:58:00,CEAQ
123456,05-25-11,2019-06-04 19:26:00,2019-06-04 21:56:00,CEAQ
123456,05-25-11,2019-06-04 21:37:00,2019-06-04 22:07:00,CEAQ
123456,05-25-11,2019-06-04 23:14:00,2019-06-04 23:59:00,CEAQ
123456,05-25-11,2019-06-04 23:32:00,2019-06-05 0:02:00,CEAQ
123456,05-25-11,2019-06-04 23:40:00,2019-06-05 0:25:00,CEAQ
123456,05-25-11,2019-06-04 18:39:48,2019-06-04 19:20:00,CEAE
123456,05-25-11,2019-06-04 19:30:48,2019-06-04 20:35:00,CEAE
123456,05-25-11,2019-06-04 23:10:00,2019-06-04 23:11:00,CEAE
123456,05-25-11,2019-06-04 16:33:00,2019-06-04 19:09:37,CEAF
123456,05-25-11,2019-06-04 19:09:37,2019-06-04 22:33:00,CEAF
123456,05-25-11,2019-06-04 20:10:12,2019-06-04 21:00:00,CEAF
123456,05-25-11,2019-06-04 18:32:00,2019-06-04 19:32:00,CEAH
123456,05-25-11,2019-06-04 21:46:00,2019-06-04 22:51:12,CEAH
123456,05-25-11,2019-06-04 22:33:00,2019-06-04 22:51:12,CEAH
123456,05-25-11,2019-06-04 22:51:12,2019-06-04 23:16:00,CEAH
123456,05-25-11,2019-06-04 22:51:12,2019-06-04 23:33:00,CEAH
123456,05-25-11,2019-06-04 23:42:00,2019-06-04 23:43:00,CEAH
123456,05-25-11,2019-06-04 18:21:00,2019-06-04 19:21:00,CEAJ
123456,05-25-11,2019-06-04 20:33:00,2019-06-04 22:33:00,CEAJ
123456,05-25-11,2019-06-04 21:59:48,2019-06-04 22:40:00,CEAJ
123456,05-25-11,2019-06-04 22:49:48,2019-06-04 22:51:00,CEAJ
123456,05-25-11,2019-06-04 18:55:48,2019-06-04 19:06:00,CEAN
123456,05-25-11,2019-06-04 18:42:12,2019-06-04 18:55:10,CEAP
123456,05-25-11,2019-06-04 18:55:10,2019-06-04 19:02:00,CEAP
123456,05-25-11,2019-06-04 23:30:00,2019-06-05 0:11:07,CEAC
123456,05-25-11,2019-06-05 0:11:07,2019-06-05 0:30:00,CEAC
123456,05-25-11,2019-06-05 0:41:48,2019-06-05 0:52:00,CEAC
123456,05-25-11,2019-06-04 17:07:00,2019-06-04 19:07:00,CEAS
123456,05-25-11,2019-06-04 18:40:12,2019-06-04 19:30:00,CEAS
123456,05-25-11,2019-06-04 19:26:12,2019-06-04 20:16:00,CEAS
123456,05-25-11,2019-06-04 21:39:48,2019-06-04 22:05:00,CEAS
123456,05-25-11,2019-06-04 22:45:00,2019-06-04 23:45:00,CEAS
123456,05-25-11,2019-06-04 18:59:48,2019-06-04 19:40:00,CEAK
123456,05-25-11,2019-06-04 22:26:00,2019-06-04 22:56:00,CEAK
123456,05-25-11,2019-06-04 20:38:00,2019-06-04 22:38:00,CEAL
123456,05-25-11,2019-06-04 23:24:12,2019-06-04 23:44:00,CEAM
123456,05-25-11,2019-06-04 19:23:00,2019-06-04 19:29:00,CEAG
123456,05-25-11,2019-06-04 22:02:00,2019-06-04 23:02:00,CEAG
123456,05-25-14,2019-06-18 20:58:00,2019-06-18 21:13:00,CM0C
123456,05-25-14,2019-06-18 19:48:00,2019-06-18 21:18:00,CM0B
123456,05-25-14,2019-06-18 20:30:48,2019-06-18 21:35:00,CM0B
123456,05-25-14,2019-06-18 21:54:00,2019-06-18 22:32:55,CM0B
123456,05-25-14,2019-06-18 22:32:55,2019-06-18 22:54:00,CM0B
123456,05-25-14,2019-06-18 21:13:00,2019-06-18 21:31:56,CM0E
123456,05-25-14,2019-06-18 21:31:56,2019-06-18 21:58:00,CM0E
123456,05-25-14,2019-06-18 22:27:00,2019-06-18 22:56:38,CM0A
123456,05-25-14,2019-06-18 22:56:38,2019-06-18 22:57:00,CM0A
123456,05-25-14,2019-06-18 22:59:00,2019-06-18 23:05:00,CM0A
123456,05-25-14,2019-06-18 20:53:00,2019-06-18 21:23:00,CM0D
123456,05-25-14,2019-06-18 21:44:00,2019-06-18 21:52:00,CM0D
123456,05-25-14,2019-06-18 21:52:00,2019-06-18 22:44:00,CM0D
123456,05-26-03,2019-06-03 9:47:00,2019-06-03 10:06:06,C5E5
123456,05-26-03,2019-06-03 10:06:06,2019-06-03 10:47:00,C5E5
123456,05-26-03,2019-06-04 0:31:00,2019-06-04 0:37:00,C5E5
123456,05-26-03,2019-06-03 10:48:48,2019-06-03 13:37:47,C5E6
123456,05-26-03,2019-06-03 10:50:48,2019-06-03 13:37:47,C5E6
123456,05-26-03,2019-06-03 11:02:48,2019-06-03 11:13:00,C5E6
123456,05-26-03,2019-06-03 11:07:48,2019-06-03 13:37:47,C5E6
123456,05-26-03,2019-06-03 11:12:48,2019-06-03 13:37:47,C5E6
123456,05-26-03,2019-06-03 13:37:47,2019-06-03 14:09:00,C5E6
123456,05-26-03,2019-06-03 13:37:47,2019-06-03 14:14:00,C5E6
123456,05-26-03,2019-06-03 13:37:47,2019-06-03 15:43:00,C5E6
123456,05-26-03,2019-06-03 13:37:47,2019-06-03 17:35:00,C5E6
123456,05-26-03,2019-06-04 15:45:00,2019-06-04 16:45:00,C5E6
123456,05-26-03,2019-06-04 17:36:00,2019-06-04 17:51:00,C5E6
123456,05-26-03,2019-06-04 18:10:12,2019-06-04 18:18:00,C5E4
123456,05-26-05,2019-06-05 20:42:48,2019-06-05 20:53:00,CHT6
123456,05-26-05,2019-06-12 20:55:00,2019-06-12 21:12:55,CMNB
123456,05-26-05,2019-06-12 21:12:55,2019-06-12 21:40:00,CMNB
123456,05-26-05,2019-06-21 21:06:48,2019-06-21 21:17:00,CQV3
123456,05-26-05,2019-06-28 15:23:12,2019-06-28 15:41:07,CX0M
123456,05-26-05,2019-06-28 15:40:12,2019-06-28 15:41:07,CX0M
123456,05-26-05,2019-06-28 15:41:07,2019-06-28 15:43:00,CX0M
123456,05-26-05,2019-06-28 15:41:07,2019-06-28 15:45:00,CX0M
123456,05-26-05,2019-06-05 20:43:48,2019-06-05 20:54:00,CHT2
123456,05-26-05,2019-06-12 20:38:00,2019-06-12 21:19:54,CMN7
123456,05-26-05,2019-06-12 21:19:54,2019-06-12 21:38:00,CMN7
123456,05-26-05,2019-06-21 21:19:00,2019-06-21 21:49:00,CQUZ
123456,05-26-05,2019-06-28 15:13:00,2019-06-28 15:54:54,CX0H
123456,05-26-05,2019-06-28 15:54:54,2019-06-28 16:13:00,CX0H
123456,05-26-05,2019-06-05 21:03:12,2019-06-05 21:23:00,CHT4
123456,05-26-05,2019-06-12 21:10:00,2019-06-12 21:37:30,CMN9
123456,05-26-05,2019-06-12 21:37:30,2019-06-12 21:40:00,CMN9
123456,05-26-05,2019-06-21 21:20:00,2019-06-21 21:47:30,CQV1
123456,05-26-05,2019-06-21 21:47:30,2019-06-21 21:50:00,CQV1
123456,05-26-05,2019-06-28 15:58:12,2019-06-28 16:18:00,CX0K
123456,05-26-05,2019-06-05 20:53:12,2019-06-05 20:55:00,CHT5
123456,05-26-05,2019-06-12 21:05:12,2019-06-12 21:10:00,CMNA
123456,05-26-05,2019-06-21 20:36:00,2019-06-21 21:06:00,CQV2
123456,05-26-05,2019-06-21 21:06:12,2019-06-21 21:11:00,CQV2
123456,05-26-05,2019-06-28 16:18:12,2019-06-28 16:23:00,CX0L
123456,05-26-05,2019-06-05 21:03:00,2019-06-05 21:29:00,CHT3
123456,05-26-05,2019-06-05 21:29:00,2019-06-05 21:33:00,CHT3
123456,05-26-05,2019-06-05 21:33:00,2019-06-05 21:36:00,CHT3
123456,05-26-05,2019-06-12 20:42:00,2019-06-12 21:08:00,CMN8
123456,05-26-05,2019-06-12 21:08:00,2019-06-12 21:42:00,CMN8
123456,05-26-05,2019-06-12 22:38:12,2019-06-12 22:43:00,CMN8
123456,05-26-05,2019-06-21 21:55:00,2019-06-21 21:58:00,CQV0
123456,05-70-00,2019-06-07 20:47:00,2019-06-07 21:32:00,CHLJ
123456,05-70-00,2019-06-07 20:59:12,2019-06-07 21:04:00,CHLJ
123456,05-70-00,2019-06-12 19:07:00,2019-06-12 19:37:00,CNV9
123456,05-70-00,2019-06-12 21:34:00,2019-06-12 22:34:00,CNV9
123456,05-70-00,2019-06-18 20:01:48,2019-06-18 20:03:00,CQV7
123456,05-70-00,2019-06-18 21:09:00,2019-06-18 22:09:00,CQV7
123456,05-70-00,2019-06-11 20:02:00,2019-06-11 21:02:00,CFAA
123456,05-70-00,2019-06-11 19:23:00,2019-06-11 21:08:00,CFAB
123456,05-70-00,2019-06-11 20:00:00,2019-06-11 21:00:00,CFAB
123456,05-70-00,2019-06-18 20:54:00,2019-06-18 21:49:17,CE74
123456,05-70-00,2019-06-18 21:49:17,2019-06-18 21:54:00,CE74
123456,05-70-00,2019-06-13 19:44:00,2019-06-13 20:07:51,CE4S
123456,05-70-00,2019-06-13 20:07:51,2019-06-13 20:32:00,CE4S
123456,05-70-00,2019-06-13 21:25:48,2019-06-13 21:36:00,CE37
123456,05-70-00,2019-06-12 19:09:00,2019-06-12 19:39:00,CHL1
123456,05-70-00,2019-06-12 21:36:00,2019-06-12 22:36:00,CHL1
123456,05-70-00,2019-06-01 20:31:12,2019-06-01 20:39:00,CKST
123456,05-70-00,2019-06-05 19:21:12,2019-06-05 19:29:00,CKTM
123456,05-70-00,2019-06-09 16:53:00,2019-06-09 17:05:00,CMGY
123456,05-70-00,2019-06-11 18:12:12,2019-06-11 18:23:00,CP19
123456,05-70-00,2019-06-13 21:46:00,2019-06-13 22:16:00,CQ65
123456,05-70-00,2019-06-18 19:54:12,2019-06-18 20:05:00,CRFH
123456,12-30-40,2019-06-01 19:09:00,2019-06-01 20:58:51,CKQ7
123456,12-30-40,2019-06-01 20:29:12,2019-06-01 20:34:00,CKQ7
123456,12-30-40,2019-06-01 20:41:48,2019-06-01 20:58:51,CKQ7
123456,12-30-40,2019-06-01 20:58:51,2019-06-01 21:07:00,CKQ7
